Cell ID,Cell birth time,Cell age,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Fluor1 sum,Fluor1 mean,Mother ID,Daughter1 ID,Daughter2 ID,L death / L birth,Fluor1 sum death,Fluor1 mean death,Long axis/Short axis birth,Long axis/Short axis death,Growth Rate,Volume birth,Volume division,Vd-Vb,fov,Time Division
5232.0,90.0,63.0,2.0,19.0,35.0,9.050180588324713,8.58596470619477,178.0,305.0,222488.0,1249.9325842696628,5136.0,5302.0,5303.0,1.8421052631578947,439525.0,1441.0655737704917,2.0994056211995553,4.0764202040974515,0.029090908682046345,1.2490026255065316,2.260374206632462,1.0113715811259303,xy3,153.0
5261.0,114.0,180.0,2.0,19.0,36.0,8.079169681957625,8.195798037708297,155.0,296.0,215704.0,1391.6387096774195,5167.0,5436.0,5437.0,1.894736842105263,248184.0,838.4594594594595,2.3517268169810492,4.392494767973357,0.010651332654827827,1.0155215957401178,2.1320294879090715,1.1165078921689537,xy3,294.0
5262.0,114.0,99.0,2.0,16.0,39.0,8.687052995661801,8.537370426574098,144.0,335.0,212228.0,1473.8055555555557,5167.0,5367.0,5368.0,2.4375,412598.0,1231.6358208955223,1.8418213872978773,4.568151321934621,0.026999179511814096,0.9435011367369992,2.5141446728959647,1.5706435361589655,xy3,213.0
5267.0,117.0,78.0,2.0,14.0,32.0,9.138142234504821,8.962076024434602,130.0,287.0,235132.0,1808.7076923076922,5182.0,5342.0,5343.0,2.2857142857142856,462215.0,1610.5052264808362,1.532040062490736,3.5706012661300552,0.031795329737864156,0.8727097411410649,2.223246698006605,1.35053695686554,xy3,195.0
5270.0,123.0,651.0,2.0,18.0,58.0,8.447144845753508,8.6742659863765,153.0,504.0,159249.0,1040.8431372549019,5155.0,6034.0,6035.0,3.2222222222222223,603206.0,1196.8373015873017,2.130897519657052,6.686444719483213,0.005392033422351404,1.0337067928166357,3.9561050455140485,2.9223982526974126,xy3,774.0
5271.0,126.0,114.0,2.0,16.0,29.0,7.874248163661388,8.273173542917338,131.0,241.0,176169.0,1344.8015267175572,5208.0,5381.0,5382.0,1.8125,190500.0,790.4564315352698,2.0319400236631964,3.505305412676481,0.015650187045965606,0.7912309437143079,1.7136767273682372,0.9224457836539293,xy3,240.0
5277.0,132.0,129.0,2.0,15.0,30.0,8.783308817802622,8.998974470962144,136.0,270.0,233590.0,1717.5735294117646,5181.0,5394.0,5395.0,2.0,348073.0,1289.1592592592592,1.7077846528175071,3.333713202188081,0.016119701873487102,0.8885604118077902,2.086115941536975,1.1975555297291849,xy3,261.0
5279.0,132.0,150.0,2.0,20.0,40.0,9.230495930162698,9.004233793945499,190.0,363.0,306643.0,1613.9105263157894,5166.0,5422.0,5423.0,2.0,863252.0,2378.1046831955923,2.16673081829174,4.44235466507947,0.013862943611198908,1.3756719317753567,2.8619485638693622,1.4862766320940055,xy3,282.0
5289.0,138.0,123.0,2.0,18.0,29.0,9.153000048339086,8.727875496409482,165.0,256.0,190080.0,1152.0,5192.0,5396.0,5397.0,1.6111111111111112,265534.0,1037.2421875,1.966568327863857,3.322687177644797,0.011632294441227063,1.1948742729924888,1.8962085109526041,0.7013342379601153,xy3,261.0
5290.0,138.0,69.0,2.0,21.0,37.0,8.467908730879541,7.943649449675215,182.0,312.0,199769.0,1097.631868131868,5192.0,5361.0,5362.0,1.7619047619047619,404260.0,1295.7051282051282,2.4799511505621505,4.6578087608728485,0.024625890213947885,1.2435589420139896,2.0681250038562293,0.8245660618422397,xy3,207.0
5292.0,141.0,57.0,2.0,18.0,31.0,8.678329652296956,7.827361068249907,157.0,255.0,240954.0,1534.7388535031846,5250.0,5344.0,5345.0,1.7222222222222223,468426.0,1836.964705882353,2.0741318573022647,3.9604663346559,0.028611339294156934,1.0855256218943812,1.6595591034333284,0.5740334815389472,xy3,198.0
5302.0,156.0,69.0,2.0,18.0,33.0,8.458904257907793,8.64332344025029,153.0,289.0,237329.0,1551.1699346405228,5232.0,5371.0,5372.0,1.8333333333333333,449914.0,1556.795847750865,2.1279351853607666,3.817975831648896,0.026353730590013728,1.036319283694318,2.146760834628242,1.110441550933924,xy3,225.0
